Year,Name_Orig,Lat_Orig,Lng_Orig,Name_Des,Lat_Des,Lng_Des,Distance (nm),Distance (mi),Distance (km)
2016,Yosemite National Park,37.865,-119.538,"Reno, NV",39.53,-119.814,100.6,115.8,186.3
2016,"Torrance, CA",33.836,-118.341,"Thousand Oaks, CA",34.171,-118.838,31.9,36.7,59
2016,"Torrance, CA",33.836,-118.341,Zion National Park,37.298,-113.026,332.6,382.8,616
2016,Zion National Park,37.298,-113.026,"Denver, CO",39.739,-104.99,405.5,466.7,751
2016,"Denver, CO",39.739,-104.99,"Manhattan, KS",39.184,-96.572,392.5,451.7,726.9
2016,"Manhattan, KS",39.184,-96.572,"St. Louis, MO",38.627,-90.199,300.3,345.5,556.1
2016,"St. Louis, MO",38.627,-90.199,"Chicago, IL",41.878,-87.63,227.9,262.2,422
2016,"Chicago, IL",41.878,-87.63,"South Bend, IN",41.676,-86.252,63,72.5,116.7
2016,"South Bend, IN",41.676,-86.252,"Columbus, OH",39.961,-82.999,180.4,207.6,334
2016,"Columbus, OH",39.961,-82.999,"Boston, MA",42.36,-71.059,559.4,643.7,1035.9
2016,"Boston, MA",42.36,-71.059,"Wellfleet, MA",41.931,-70.031,52.6,60.6,97.4
2016,"Columbus, OH",39.961,-82.999,"South Bend, IN",41.676,-86.252,180.4,207.6,334
2016,"Columbus, OH",39.961,-82.999,"Dublin, Ireland",53.35,-6.26,3110.3,3579.3,5760.3
2016,"Columbus, OH",39.961,-82.999,"Fort Worth, TX",32.755,-97.331,816.3,939.3,1511.7
2016,"Columbus, OH",39.961,-82.999,"Wooster, OH",40.805,-81.935,70.3,80.9,130.1
2016,"Columbus, OH",39.961,-82.999,"Gambier, OH",40.376,-82.397,37.2,42.8,68.9
2016,"Columbus, OH",39.961,-82.999,"Norwalk, CT",41.118,-73.408,443.9,510.9,822.1
2017,"Columbus, OH",39.961,-82.999,"Wasshington, D.C.",38.888,-77.004,0,0,0
2017,"Columbus, OH",39.961,-82.999,"Hotel de Rome, Berlin, Germany",52.516,13.394,0,0,0
2017,"Berlin, Germany",52.516,13.394,"Cathedrale Notre-Dame de Paris, Paris, France",48.857,2.352,0,0,0
2017,"Paris, France",48.857,2.352,Cathedrale Notre-Dame de Chartres,48.448,1.488,42.3,48.6,78.2
2017,"Paris, France",48.857,2.352,"Columbus, OH",39.961,-82.999,0,0,0
2017,"Columbus, OH",39.961,-82.999,"Paso Robles, CA",35.637,-120.655,1795.9,2066.7,3326
2017,"Paso Robles, CA",35.637,-120.655,"Dallas, TX",32.899,-96.917,0,0,0
2017,"Dallas, TX",32.777,-96.797,"Columbus, OH",39.961,-82.999,793.8,913.4,1470
2017,"Columbus, OH",39.961,-82.999,"Austin, TX",30.267,-97.743,927.3,1067.1,1717.3
2017,"Columbus, OH",39.961,-82.999,"Reno, NV",39.53,-119.814,1691.7,1946.8,3133.1
2017,"Reno, NV",39.53,-119.814,"Incline Village, NV",39.238,-119.944,0,0,0
2017,"Columbus, OH",39.961,-82.999,"Utica, OH",40.234,-82.451,30.1,34.6,55.7
2017,"Oakland, CA",37.804,-122.271,"Yosemite National Park, California",37.865,-119.538,129.9,149.5,240.7
2017,"Columbus, OH",39.961,-82.999,"South Bend, IN",41.702,-86.239,0,0,0
2017,"Columbus, OH",39.961,-82.999,"Ossining, NY",41.16,-73.854,424.1,488.1,785.5
2017,"Columbus, OH",39.961,-82.999,"Wooster, OH",40.805,-81.935,70.3,80.9,130.1
2017,"Columbus, OH",39.961,-82.999,"Fort Worth, TX",32.755,-97.331,816.3,939.3,1511.7
2017,"Columbus, OH",39.961,-82.999,"Cincinnati, OH",39.103,-84.512,87.1,100.2,161.2
2017,"Columbus, OH",39.961,-82.999,"Dublin, Ireland",53.35,-6.26,3110.3,3579.3,5760.3
2017,"Columbus, OH",39.961,-82.999,"Oakland, CA",37.804,-122.271,0,0,0
2017,"Oakland, CA",37.804,-122.271,"Paso Robles, CA",35.637,-120.655,0,0,0
2017,"Paso Robles, CA",35.637,-120.655,"Palm Springs, CA",33.842,-116.538,0,0,0
2017,"Paso Robles, CA",35.637,-120.655,"Monterey, CA",36.6,-121.895,83.5,96,154.6
2018,"Columbus, OH",39.961,-82.999,"Port Orange, FL",29.1383,-80.9956,0,0,0
2018,"Port Orange, FL",29.1383,-80.9956,"Kennedy Space Center, FL",28.5729,-80.649,0,0,0
2018,"Columbus, OH",39.961,-82.999,"Phoenix, AZ",33.4484,-112.074,0,0,0
2018,"Columbus, OH",39.961,-82.999,"Las Vegas, NV",36.1699,-115.1398,0,0,0
2018,"Las Vegas, NV",36.1699,-115.1398,"San Francisco, CA",37.7749,-122.4194,0,0,0
2018,"San Francisco, CA",37.7749,-122.4194,"Paso Robles, CA",35.637,-120.655,0,0,0
2018,"Columbus, OH",39.961,-82.999,"Orlando, FL",28.5383,-81.3792,0,0,0
2018,"Columbus, OH",39.961,-82.999,"Denver, CO",39.7392,-104.9903,0,0,0
2018,"Columbus, OH",39.961,-82.999,"Dublin, Ireland",53.35,-6.26,0,0,0
2018,"Dublin, Ireland",53.35,-6.26,"Shanon, Ireland",52.7125,-8.8731,0,0,0
2018,"Shanon, Ireland",52.7125,-8.8731,"Columbus, OH",39.961,-82.999,0,0,0
2018,"Columbus, OH",39.961,-82.999,"Stavanger, Norway",58.97,5.7331,0,0,0
2018,"Stavanger, Norway",58.97,5.7331,"Dublin, Ireland",53.35,-6.26,0,0,0
2018,"Dublin, Ireland",53.35,-6.26,"Shanon, Ireland",52.7125,-8.8731,0,0,0
2018,"Columbus, OH",39.961,-82.999,"Cleveland, OH",41.4993,-81.6944,0,0,0
2018,"Columbus, OH",39.961,-82.999,"Washington, D.C.",38.888,-77.004,0,0,0
2018,"Columbus, OH",39.961,-82.999,"Philadelphia, PA",39.9526,-75.1652,0,0,0
2018,"Columbus, OH",39.961,-82.999,"South Bend, IN",41.702,-86.239,0,0,0
2018,"Columbus, OH",39.961,-82.999,"Los Angeles, CA",33.9416,-118.4085,0,0,0
2018,"Los Angeles, CA",33.9416,-118.4085,"Palm Springs, CA",33.8303,-116.5453,0,0,0
2018,"Palm Springs, CA",33.8303,-116.5453,"Paso Robles, CA",35.637,-120.655,0,0,0
2018,"Paso Robles, CA",35.637,-120.655,"Paso Robles, CA",35.637,-120.655,0,0,0
2018,"Paso Robles, CA",35.637,-120.655,"Montana De Oro, CA",35.2723,-120.8868,0,0,0
2018,"Paso Robles, CA",35.637,-120.655,"Los Angeles, CA",33.9416,-118.4085,0,0,0
